generation,N_shifts,logPrior,logLik,eventRate,acceptRate
7980000,22,2.90968,-3274.68,20.0472,0.456
8000000,34,7.83306,-3252.91,34.9937,0.474
8020000,21,4.49667,-3266.58,26.4333,0.44575
8040000,30,-2.24411,-3237.83,38.185,0.43
8060000,28,-0.233407,-3248.35,36.1189,0.452
8080000,28,-5.32748,-3258.2,40.3811,0.452
8100000,26,10.6484,-3251.38,38.4867,0.448091
8120000,24,8.24731,-3260.2,19.6699,0.44925
8140000,22,7.46213,-3264.44,30.514,0.440182
8160000,20,6.38508,-3261.21,16.4614,0.427
8180000,31,-8.51746,-3252.69,25.9942,0.4544
8200000,22,3.9945,-3282.44,23.7102,0.422
8220000,22,-2.36566,-3271.39,17.3047,0.441478
8240000,18,2.40955,-3277.05,14.366,0.44275
8260000,29,-4.68803,-3255.2,34.0424,0.4764
8280000,26,9.55469,-3264.88,26.7548,0.446
8300000,28,-2.97251,-3260.94,27.71,0.463
8320000,24,6.28705,-3262.35,18.6563,0.409
8340000,22,7.18581,-3248.03,35.9342,0.442
8360000,26,-10.7335,-3241.77,25.2042,0.474
8380000,26,0.754241,-3269.11,28.9085,0.433
8400000,21,3.17139,-3264.75,17.5198,0.43825
8420000,27,8.73732,-3254.33,20.6476,0.4635
8440000,37,-13.718,-3255.4,43.8967,0.462
8460000,21,5.71309,-3264.7,21.097,0.45
8480000,24,1.0759,-3279.48,21.7328,0.462333
8500000,26,-21.6582,-3242.9,32.5234,0.436154
8520000,35,-7.40183,-3252.03,41.907,0.457
8540000,35,16.3903,-3259.93,35.5208,0.477
8560000,29,-1.34883,-3254.59,26.7056,0.455
8580000,26,7.10171,-3266.1,19.2127,0.4696
8600000,23,1.03514,-3259.25,34.2962,0.438
8620000,23,3.95163,-3254.25,19.7077,0.438
8640000,23,8.87401,-3278.57,19.5798,0.443615
8660000,31,5.06106,-3264.24,30.7865,0.475
8680000,25,0.333181,-3248.55,27.6664,0.451
8700000,25,-0.67439,-3263.25,35.7824,0.428
8720000,19,-3.82035,-3258.01,31.986,0.459
8740000,18,1.28943,-3289.44,16.23,0.435
8760000,25,-4.94703,-3243.48,19.6287,0.441
8780000,27,4.89145,-3266.98,31.3128,0.475
8800000,29,-0.0836876,-3237.04,26.8118,0.446
8820000,23,-4.18521,-3262.37,28.8776,0.444
8840000,21,1.76504,-3265.52,13.8844,0.44
8860000,36,0.435936,-3239.15,48.3318,0.4685
8880000,33,1.67918,-3241.91,26.4159,0.445381
8900000,24,3.16753,-3240.41,24.6864,0.4425
8920000,38,6.45354,-3235.85,35.9796,0.4775
8940000,24,9.74203,-3240.14,29.2963,0.422
8960000,30,-8.09769,-3243.17,26.0944,0.482
8980000,21,1.85847,-3259.37,22.5172,0.464
9000000,21,0.646661,-3268.45,26.5421,0.467
9020000,35,6.2474,-3226.1,33.229,0.441
9040000,24,-2.19511,-3257.19,29.5854,0.448
9060000,27,-11.333,-3238.04,23.0506,0.446
9080000,21,4.53633,-3274.85,18.3687,0.454333
9100000,20,4.78801,-3254.33,24.0335,0.434
9120000,18,-1.06535,-3266.65,14.9945,0.461
9140000,28,-4.06177,-3282.18,25.01,0.466
9160000,25,3.14936,-3244.23,26.5232,0.4531
9180000,29,-3.20116,-3243.5,23.7013,0.477
9200000,20,-2.33105,-3265.91,17.4136,0.439
9220000,27,0.255439,-3280.58,24.2245,0.4616
9240000,22,4.37051,-3280.51,19.7779,0.418
9260000,19,1.24131,-3260.13,25.1699,0.4254
9280000,22,0.422745,-3270.49,18.5635,0.463
9300000,19,3.31772,-3260.14,20.8679,0.4405
9320000,18,6.20874,-3269.93,16.3607,0.41
9340000,23,2.50561,-3258.07,24.5837,0.442
9360000,28,3.88737,-3252.64,33.0955,0.42
9380000,35,4.74986,-3271.97,33.615,0.4715
9400000,26,-0.316851,-3236.1,24.1776,0.468
9420000,22,-6.06569,-3269.28,23.6688,0.461
9440000,23,7.24199,-3250.62,27.7266,0.439
9460000,22,-1.15488,-3278.76,25.7383,0.444
9480000,26,-4.76359,-3248.25,28.3387,0.4742
9500000,22,5.26358,-3243.92,21.2869,0.433
9520000,23,1.29381,-3258.43,22.2034,0.45
9540000,24,9.94553,-3249.16,31.5697,0.442667
9560000,32,4.80925,-3249.25,32.7842,0.475
9580000,27,5.30116,-3259.57,29.0955,0.4545
9600000,26,-5.33993,-3241.35,22.2489,0.473
9620000,39,-11.5753,-3252.41,56.3628,0.495
9640000,29,7.53778,-3234.67,25.0265,0.462591
9660000,20,-11.8398,-3254.67,19.7954,0.419
9680000,26,-2.85921,-3273.44,26.9574,0.441308
9700000,27,-3.61095,-3226.57,31.6632,0.449
9720000,27,-0.868244,-3238.05,20.8208,0.436111
9740000,29,9.66546,-3252.57,31.4347,0.431
9760000,21,-0.798667,-3245.29,25.2523,0.421
9780000,20,-2.58455,-3240.36,21.5498,0.441
9800000,30,3.97679,-3264.16,27.6225,0.464
9820000,26,8.24679,-3243.24,22.6498,0.446
9840000,32,16.7658,-3226.84,28.1672,0.483
9860000,36,-5.85256,-3214.7,31.9397,0.428
9880000,34,2.86797,-3224.47,35.9148,0.443
9900000,34,3.05692,-3231.82,39.5252,0.454
9920000,25,3.35247,-3257.37,21.9178,0.445667
9940000,25,0.194971,-3254.03,28.9319,0.44
9960000,23,5.26161,-3248.27,28.2144,0.425
9980000,29,7.99109,-3232.83,29.7488,0.462
10000000,31,-8.27563,-3248.01,24.5141,0.446231
10020000,28,7.50783,-3231.36,22.5819,0.452
10040000,35,-3.41975,-3240.42,36.0951,0.438
10060000,26,8.39694,-3251.06,33.4135,0.4532
10080000,24,0.686887,-3248.32,24.7859,0.433429
10100000,22,8.0373,-3273.54,24.0082,0.4495
10120000,29,3.13441,-3260.36,37.8919,0.437
10140000,23,3.76389,-3273.84,27.1359,0.470857
10160000,26,-7.77436,-3248.64,31.9795,0.422
10180000,31,-8.18534,-3241.04,25.4429,0.481
10200000,26,-4.09958,-3287.37,30.0343,0.4582
10220000,20,2.11342,-3271.94,21.9701,0.4455
10240000,21,1.26624,-3265.76,33.0345,0.444
10260000,35,-1.20048,-3231.44,37.7187,0.447
10280000,37,-0.368623,-3225.56,32.85,0.454
10300000,27,-1.93151,-3248.77,28.0909,0.412
10320000,30,2.52844,-3253.42,24.6177,0.438
10340000,27,4.01584,-3235.07,29.9834,0.471
10360000,23,6.58107,-3261.25,25.6706,0.427
10380000,21,-0.588245,-3240.48,19.3146,0.4432
10400000,24,5.04896,-3262.76,25.6982,0.42
10420000,30,-3.20306,-3262.5,29.1334,0.439
